Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,65,65,60,80,90,85,85,90,100,125,130,185,200,170,180,185,195,190
2,9/7/2020,80,80,100,90,120,110,105,125,140,125,190,195,185,200,210,205,230,240
3,9/14/2020,43.5,57.5,48.2,55.5,50,43.5,52,56.5,54.5,65.5,62.5,68.5,74,78.5,85.5,90.5,100,95.5
4,9/21/2020,60.7,68.3,80.6,40.7,55.8,58.5,70,68.1,80.6,70.8,80.8,80.4,85.7,95.5,100.5,105.4,110.8,105
5,9/28/2020,73,68,57.8,55.5,56.5,57.5,60.2,77.5,74,83.5,80.5,89.5,125.5,135.5,142.8,150.5,168.5,174.3
6,10/5/2020,60.72,61.5,63.85,55.6,47.11,50.27,53.46,56.1,60.72,65.83,66.94,69.78,67.64,70.75,75.18,81.66,95.53,129.78
7,10/12/2020,58.91,63,,,,,,,,,,,,,,,,
8,10/19/2020,63.18,67.66,60.27,59.95,59.80,61.02,60.84,60.87,61.81,63.62,62.17,70.45,67.95,101.45,142.04,189.21,232.31,255.25
9,10/26/2020,74.10,83.36,42.58,42.58,56.08,55.86,57.36,57.05,66.83,68.87,74.10,83.36,92.46,124.39,176.75,256.19,215.81,267.13
10,11/2/2020,95.62,119.02,47.62,48.05,50.32,53.36,56.22,57.97,60.82,69.64,79.85,95.62,119.02,201.50,352.66,368.87,412.29,425.55
11,11/9/2020,130.97,135.07,42.89,42.89,47.42,48.52,50.10,55.85,61.85,70.64,85.19,105.26,135.69,152.59,180.31,197.75,215.71,235.19
12,11/16/2020,180.31,197.75,41.16,42.89,45.32,47.42,48.52,50.10,55.85,61.85,70.64,85.19,105.26,135.69,152.59,180.31,197.75,215.71
13,11/23/2020,176.65,192.67,43.28,45.31,48.26,51.30,54.08,56.52,63.00,73.51,89.18,112.48,125.31,145.84,160.98,176.65,192.67,216.09
14,11/30/2020,,,,,,,,,,,,,,,,,,
15,12/7/2020,,,,,,,,,,,,,,,,,,
