Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,60,55,60,55,70,80,90,100,105,110,120,125,130,150,170,190,200,210
2,9/7/2020,55,60,60,55,70,80,90,100,105,110,120,125,130,150,170,190,200,210
3,9/14/2020,40,50,196,160,157,137,112,115,188,132,130,135,145,157,179,186,264,389
4,9/21/2020,44,42,73,70,67,64,58,57,254,172,134,147,126,135,145,177,154,173
5,9/28/2020,57.9,60,-211,-157,-103,-49,4,58,111,165,219,273,327,381,435,488,542,596
6,10/5/2020,48.9,42.9,34.23,40.79,75.91,53.91,57.09,104.37,85.43,91.44,80.43,86.81,111,127.86,133.71,200.86,392.71,1764.57
7,10/12/2020,60,65,,,,,,,,,,,,,,,,
8,10/19/2020,75.67,82.87,47.17,56.96,66.86,76.6,85.97,94.83,103.06,110.61,117.45,123.59,129.06,133.89,138.13,141.84,145.07,147.86
9,10/26/2020,74.93,81.67,49.72,64.78,69.49,86.67,80.08,88.02,115.51,122.67,114.9,126.58,138.03,141.48,142.77,203.92,234.59,255.88
10,11/2/2020, 96.91,	115.37,	58.05,	76.73,	76.4,	84,	77.66,	83.71,	112.08,	113.42,	107.61,	110.8,	117.67,	124.8,	130.38,	186.6,	212.32,	236.91
11,11/9/2020, 132.98, 139.2, 103.56875, 93.83571428571429, 427.07142857142856, 207.35714285714286, 109.2357142857143, 97.1857142857143, 125.21428571428571, 138.9142857142857, 143.85714285714286, 160.57142857142858, 155.92857142857142, 175.35714285714286, 175.71428571428572, 180.92857142857142, 195.64285714285714, 194.71428571428572
12,11/16/2020,,,,,,,,,,,,,,,,,,
13,11/23/2020,,,,,,,,,,,,,,,,,,
14,11/30/2020,,,,,,,,,,,,,,,,,,
15,12/7/2020,,,,,,,,,,,,,,,,,,
