Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/20,55,52,38,40,68,51,57,75,85,85,80,87,100,125,130,250,300,350
2,9/7/20,50,45,35,40,50,55,50,70,80,80,90,110,100,120,135,225,275,325
3,9/14/20,81.1564,93.7768,51,46,39,78,85,102.5713,159.4501,112.3559,99.7108,106.4649,117.2364,120.5228,130.5357,151.0528,251.8689,376.3535
4,9/21/20,47,43.9,50,48,45,50,54,65,65,75,85,90,120,132,130,160,220,300
5,9/28/20,54.31,51.56,50,47,50,52,52,58,60,58,65,75,90,100,95,95,120,130
6,10/5/20,52.47,50.1,50,49,52,54,55,52,55,60,62,65,75,90,85,75,85,90
7,10/12/20,67.81,69.34,,,,,,,,,,,,,,,,
8,10/19/20,62.56,63.65,69.75,73.62,65.22,72.31,74.37,74.96,66.78,63.85,63.4,63.32,83.86,76.4,74.35,73.79,176.61,108.8
9,10/26/20,77.96,81.96,69.75,73,65.22,72.31,74.37,74.96,66.78,63.85,63.4,63.32,76.4,83.86,76.4,108.8,176.61,176.61
10,11/2/20,,,,,,,,,,,,,,,,,,
11,11/9/20,,,,,,,,,,,,,,,,,,
12,11/16/20,,,,,,,,,,,,,,,,,,
13,11/23/20,,,,,,,,,,,,,,,,,,
14,11/30/20,,,,,,,,,,,,,,,,,,
15,12/7/20,,,,,,,,,,,,,,,,,,
