Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,72.6,57.2,72.6,57.2,56,87.5,95.8,85.6,85.9,81,102.9,125.7,131.5,177.1,244.5,1532,1591.1,296.1
2,9/7/2020,165,106,347,165,106,137,106,107,273,194,171,162,180,226,250,298,243,244
3,9/14/2020,56,87.5,72.6,57.2,56,87.5,95.8,85.6,85.9,81,102.9,125.7,131.5,177.1,244.5,1532,1591.1,296.1
4,9/21/2020,53.9,65.1,72.6,57.2,56,53.9,65.1,54.1,66.5,80,87.6,103.3,131.5,140.7,147.2,149.8,156,132.5
5,9/28/2020,96.11,84.32,38.01,74.44,55.74,56.76,96.11,84.32,88.7,83.1,83.9,95,125.44,132.57,191.57,319.57,1692.86,1378.43
6,10/5/2020,57.1,104.3,93.2,34.2,40.7,75.9,53.9,57.1,104.3,85.4,91.4,80.4,86.8,111,127.9,133.7,200.9,392.7
7,10/12/2020,,,,,,,,,,,,,,,,,,
8,10/19/2020,,,,,,,,,,,,,,,,,,
9,10/26/2020,,,,,,,,,,,,,,,,,,
10,11/2/2020,,,,,,,,,,,,,,,,,,
11,11/9/2020,,,,,,,,,,,,,,,,,,
12,11/16/2020,,,,,,,,,,,,,,,,,,
13,11/23/2020,,,,,,,,,,,,,,,,,,
14,11/30/2020,,,,,,,,,,,,,,,,,,
15,12/7/2020,,,,,,,,,,,,,,,,,,
