Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/20,55,45,60,55,50,80,93,80,110,120,130,150,180,600,1500,6000,250,300
2,9/7/20,70,90,37,82,57,59,90,95,89,87,81,101,126,132,210,270,1800,2400
3,9/14/20,158.1023041,198.9304147,193.3793722,166.70553,197.0603687,158.1023041,198.9304147,129.5589862,143.9442396,127.7497696,146.1447005,184.4576037,170.5299539,204.3963134,202.40553,243.4331797,257.5483871,302.4608295
4,9/21/20,50,45,194.0427928,166.70553,197.0603687,158.1023042,198.9304148,129.5589862,143.9442396,127.7497696,146.1447005,184.4576037,170.5299539,204.3963134,202.40553,243.4331797,257.5483871,302.4608295
5,9/28/20,,,,,,,,,,,,,,,,,,
6,10/5/20,,,,,,,,,,,,,,,,,,
7,10/12/20,,,,,,,,,,,,,,,,,,
8,10/19/20,,,,,,,,,,,,,,,,,,
9,10/26/20,,,,,,,,,,,,,,,,,,
10,11/2/20,,,,,,,,,,,,,,,,,,
11,11/9/20,,,,,,,,,,,,,,,,,,
12,11/16/20,,,,,,,,,,,,,,,,,,
13,11/23/20,,,,,,,,,,,,,,,,,,
14,11/30/20,,,,,,,,,,,,,,,,,,
15,12/7/20,,,,,,,,,,,,,,,,,,
