Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,104,103.25,103,104,103.25,102,101.5,102,102.75,105,107,108,109,109.5,110,110,110,111
2,9/7/2020,102,95,101,130,102,95,115,160,130,115,130,135,140,150,180,360,730,225
3,9/14/2020,50.7,51.5,46.1,40.4,38.6,50.7,51.5,52,54,56,58,60,58,56,54,52,54,56
4,9/21/2020,52.8,51.7,55,55,40,86.3,86.3,132.6,80,107.3,107.3,134.5,120,150.2,150.2,180.3,195.45,210.9
5,9/28/2020,,,,,,,,,,,,,,,,,,
6,10/5/2020,,,,,,,,,,,,,,,,,,
7,10/12/2020,,,,,,,,,,,,,,,,,,
8,10/19/2020,,,,,,,,,,,,,,,,,,
9,10/26/2020,,,,,,,,,,,,,,,,,,
10,11/2/2020,,,,,,,,,,,,,,,,,,
11,11/9/2020,,,,,,,,,,,,,,,,,,
12,11/16/2020,,,,,,,,,,,,,,,,,,
13,11/23/2020,,,,,,,,,,,,,,,,,,
14,11/30/2020,,,,,,,,,,,,,,,,,,
15,12/7/2020,,,,,,,,,,,,,,,,,,
