Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/20,210,170,100,290,120,100,220,130,210,190,160,250,150,160,200,240,130,270
2,9/7/20,220,230,214,800,11000,5000,290,190,240,260,230,1200,1000,1700,290,240,130,270
3,9/14/20,67,84,114,180,90,110,140,150,600,110,70,60,80,64,84,140,500,117
4,9/21/20,59,84,114,65,84,89,59,120,110,80,123,160,132,182,205,225,180,204
5,9/28/20,,,,,,,,,,,,,,,,,,
6,10/5/20,,,,,,,,,,,,,,,,,,
7,10/12/20,,,,,,,,,,,,,,,,,,
8,10/19/20,,,,,,,,,,,,,,,,,,
9,10/26/20,,,,,,,,,,,,,,,,,,
10,11/2/20,,,,,,,,,,,,,,,,,,
11,11/9/20,,,,,,,,,,,,,,,,,,
12,11/16/20,,,,,,,,,,,,,,,,,,
13,11/23/20,,,,,,,,,,,,,,,,,,
14,11/30/20,,,,,,,,,,,,,,,,,,
15,12/7/20,,,,,,,,,,,,,,,,,,
