Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
2,9/7/2020,55,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220
3,9/14/2020,55,60,34,69,59,55,78,102,84,88,80,98,124,132,156,208,208,208
4,9/21/2020,51.2,45,34,69,59,55,78,102,84,88,80,98,124,132,156,208,208,208
5,9/28/2020,58.4,57.3,34,69,59,55,78,102,84,88,80,98,124,132,156,208,208,208
6,10/5/2020,57.3,57.9,34,69,59,55,78,102,84,88,80,98,124,132,156,208,208,208
7,10/12/2020,61.86,59.57,34,69,59,55,78,102,84,88,80,98,124,132,156,208,208,208
8,10/19/2020,69,65,38,74,56,57,96,90,89,83,84,107,127,133,192,200,200,200
9,10/26/2020,84,88,38,74,56,57,96,90,89,83,84,107,127,133,192,200,200,200
10,11/2/2020,117,125,38,74,56,57,96,90,89,83,84,107,127,133,192,200,200,200
11,11/9/2020,133.12,157.45,32,49.9,48.6,48.9,51.2,69.9,77.3,73.9,77.8,97.1,121,129,135,145,155,166
12,11/16/2020,132.09,141.65,32,49.9,48.6,48.9,51.2,69.9,77.3,73.9,77.8,97.1,121,129,135,145,155,166
13,11/23/2020,157.93,160.12,38,74,56,57,96,90,89,83,84,107,127,133,192,200,200,200
14,11/30/2020,,,,,,,,,,,,,,,,,,
15,12/7/2020,,,,,,,,,,,,,,,,,,
