Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,185,180,178,178,191,191,191,191,191,191,191,191,191,191,191,191,191,191
2,9/7/2020,65,60,90,100,90,83,95,100,110,125,140,148,155,158,163,178,183,184
3,9/14/2020,51.75,54.07,95.21,89.75,97.87,90.46,81.97,93.83,105.5,103.67,130.11,135.85,145.81,157.16,179.16,186.01,199.59,194.44
4,9/21/2020,45.17,48.2,35.88,55.22,59.05,56.04,65.81,80.11,85.55,96.5,97.56,110.63,124.63,131.63,143.25,161.63,170.07,177
5,9/28/2020,65.57,63.93,38.32,59.17,61.56,61.96,78.64,80.42,80.4,93.88,84.48,105.96,124,131,137.28,160.28,172.28,179.28
6,10/5/2020,67.32,78.23,50.98,65.31,74.02,81.8,89.46,96.18,101.91,106.94,111.41,115.33,118.77,121.8,124.46,126.79,128.85,130.65
7,10/12/2020,74.01,82.82,,,,,,,,,,,,,,,,
8,10/19/2020,77.71,85.59,55.25,67.53,74.65,80.84,87.47,93.68,99.02,103.67,107.86,111.67,115.07,118.11,120.83,123.27,125.46,127.41
9,10/26/2020,,,,,,,,,,,,,,,,,,
10,11/2/2020,112.29,116.76,65.14,78,88.52,98.16,105.83,122.89,123.32,126.14,129.2,142.07,139.05,139.07,139.83,150.8,146.23,144.97
11,11/9/2020,133.12,157.45,32,49.9,48.6,48.9,51.2,69.9,77.3,73.9,77.8,97.1,121,129,135,145,154,166
12,11/16/2020,150.54,163.28,39.76,42.31,50.87,58.2,62.61,65.82,71.43,77.21,87.98,107.08,125.29,142.25,158.79,171.78,178.01,186.59
13,11/23/2020,168.88,182.64,36.08,35.43,43.88,50.06,58.01,67.84,79.26,88.13,105.7,113.36,132.82,142.16,149.19,171.96,184.47,189.16
14,11/30/2020,173.94,190.96,36.08,35.43,43.88,50.06,58.01,67.84,79.26,88.13,105.7,113.36,132.82,142.16,149.19,171.96,184.47,189.16
15,12/7/2020,169.43,180.87,45.66,60.93,64.4,70.55,81.09,77,92.98,93.52,105.8,124,131,140.4,161,173,176.2,179
