Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,60,200,52.65,59.09,199.57,129.49,106.01,82.8,94.8,102.6,100.67,122,134,137.57,147,150.57,161.29,213.86
2,9/7/2020,192.91,125.16,52.65,57.11,192.91,125.16,102.48,80.04,91.64,99.18,97.31,117.93,129.53,132.98,142.1,145.55,155.9,206.72
3,9/14/2020,218.3885105,165.8016675,106.4734865,93.38735963,279.6994381,218.3885105,165.8016675,128.0413622,144.7184632,156.1743318,153.9272191,182.8532873,205.7650245,211.0523485,224.7112688,231.7610341,243.657513,324.2892035
4,9/21/2020,56.39,44.04,59.26,51.98,155.68,121.55,92.28,70.91,79.53,85.67,85.3,98.47,114.9,116.49,123.97,128.26,134.64,174.61
5,9/28/2020,66.34,55.41,23.56,45.85,41.81,38.14,48.2,74.91,58.08,63.45,54.79,65.64,85.06,91.24,101.41,147.18,121.34,124.24
6,10/5/2020,94.16,98.49,47.72,54.04,58.42,63.74,69.31,74.38,79.22,84.01,88.68,93.18,97.55,101.8,105.92,109.92,113.8,117.57
7,10/12/2020,70,74.85,,,,,,,,,,,,,,,,
8,10/19/2020,75.57,83.15,47.72,54.04,58.41,63.74,69.31,74.38,79.22,84.01,88.68,93.18,97.55,101.8,105.92,109.92,113.8,117.56
9,10/26/2020,88.98,90.08,46.65,53.74,58.74,65.02,71.53,77.64,83.69,89.79,95.84,101.82,107.76,113.67,119.53,125.35,131.13,136.86
10,11/2/2020,129.29,143.42,46.65,53.74,58.74,65.02,71.53,77.64,83.69,89.79,95.84,101.82,110.45,118.66,126.81,134.98,143.16,151.33
11,11/9/2020,139.39,152.92,46.65,53.74,58.74,65.02,71.53,77.64,83.69,89.79,95.84,101.82,110.45,118.66,126.81,134.98,143.15,151.33
12,11/16/2020,165.12,177.17,42.97,53.44,64.86,76.24,87.09,97.21,106.52,115.03,122.78,129.83,138.2,146.2,154.56,162.73,170.91,179.08
13,11/23/2020,,,,,,,,,,,,,,,,,,
14,11/30/2020,,,,,,,,,,,,,,,,,,
15,12/7/2020,,,,,,,,,,,,,,,,,,
