Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/20,30,30,50,50,50,50,80,80,80,80,150,150,200,800,750,1300,1300,1300
2,9/7/20,60,50,50,60,50,55,120,72,90,75,90,110,110,110,300,800,2000,400
3,9/14/20,48.6,52.3,29.6,49.9,49.9,48.6,51.2,71.3,69.9,75.1,73.9,83,117,127,130,141,150,166
4,9/21/20,,,,,,,,,,,,,,,,,,
5,9/28/20,,,,,,,,,,,,,,,,,,
6,10/5/20,,,,,,,,,,,,,,,,,,
7,10/12/20,,,,,,,,,,,,,,,,,,
8,10/19/20,,,,,,,,,,,,,,,,,,
9,10/26/20,,,,,,,,,,,,,,,,,,
10,11/2/20,,,,,,,,,,,,,,,,,,
11,11/9/20,,,,,,,,,,,,,,,,,,
12,11/16/20,,,,,,,,,,,,,,,,,,
13,11/23/20,,,,,,,,,,,,,,,,,,
14,11/30/20,,,,,,,,,,,,,,,,,,
15,12/7/20,,,,,,,,,,,,,,,,,,
